title;abstract
HUBUNGAN KECEPATAN LARI DENGAN KETERAMPILAN DRIBLING DALAM PERMAINAN SEPAKBOLA SMA NEGERI 10 KENDARI;"Ria irawan laponangi H Hubungan Kecepatan Lari Dengan Keterampilan Dribling Dalam Permainan Sepakbola SMA Negeri  Kendari Program studi Pendidikan jasmani kesehatan dan rekreasi fakultas keguruan dan ilmu Pendidikan universitas nahdlatul ulama Sulawesi tenggara Dosen pembimbing I ibu Resky Ana Abadi SPd MPd dan dosen pembimbing II Ibu Suryani SPd MPd

Sepakbola merupakan salah satu cabang olahraga yang digemari oleh masyarakat Kajian hasil literatur menunjukkan bahwa penelitian ini bertujuan untuk mengetahui hubungan kecepatan lari dengan keterampilan dribbling dalam permainan sepakbola Metode penelitian yang digunakan adalah metode korelasi Sampel dalam penelitian ini adalah siswa kelas XI IPS yang berjumlah 4 dengan Teknik pengambilan sampel purposive sampling Penelitian ini menggunakan tes kecepatan lari dengan keterampilan dribbling Untuk mengetahui signifikan peran secara parsial antara variabel independent terhadap variabel dependen menggunakan uji person correlation Besaran diperoleh adalah sebesar  lebih besar dari pada   artinya ada korelasi antara variabel bebas kecepatan lari dengan variabel terikat keterampilan dribbling siswa kelas XI IPS SMA Negeri  Kendari Dengan demikian dapat disimpulkan bahwa kecepatan lari tidak mempunyai peranan penting dalam mengging bola

Kata Kunci Lari Dribling Sepakbola"
SURVEI TINGKAT KESEGARAN JASMANI SISWA KELAS XI1 IPS 1 SMA NEGERI 1 POLI POLIA KABUPATEN KOLAKA TIMUR;"Asri H Survei Tingkat Kesegaran Jasmani Siswa Kelas XI IPS  SMA Negeri  Poli Polia kolaka Timur Pembimbing I Basman SPd M Pd AIFO dan Pembimbing II Suryanı SPd MPd

Tujuan penelitian ini adalah mengetahui Bagaimana Tinggi Tingkat Kesegaran Jasmani Siswa Kelas XI IPS  SMA Negeri  Poli Polia kolaka Timur Populası dalam Teknik penarikan sampel adalah total sampling yaitu seluruh siswa dijadikan sampel sehingga diperoleh sampel sebanyak  siswa putra Instrument yang digunakan adalah tes kesegaran jasmani TKJI darı Depdiknas tahun  untuk usia  tahun yang terdiri darı  item tes Tes ları  meter gantung angkat tubuh  detik baring duduk  detik loncat tegak ları  meter Teknik analisis data yang digunakan dalam penelitian ini adalah analisis statistik deskriptif dengan persentase Hasil penelitian menunjukkan bahwa Tingkat Kesegaran Jasmani Jasmani Siswa Kelas XI IPS I SMA Negeri  Poli Polia kolaka Timur yaitu sedang dengan jumlah  siswa dalam kategorı 4 Sehingga pada tingkat kesegaran jasmanı di kelas XI IPS  SMA Negeri  PoliPolia Kabupaten Kolaka Timur berada pada taraf kategori Sedang dan klasifikasi kesegaran jasmani yang kategorı kurang berjumlah  siswa dan kategori kurang sekali berjumlah 4 Dapat disimpulkan bahwa Tingkat Kesegaran Jasmani Siswa Kelas XI IPS I SMA Negeri  Poli  Polia kolaka Timur adalah sebagian besar masuk kategori sedang

Kata Kunci TKJI Siswa Penjas"
HUBUNGAN KOORDINASI MATA KAKI DENGAN KETERAMPILAN MELAKUKAN DRIBLING PADA PERMAINAN SEPAK BOLA DI SMA NEGERI 1 POLI POLIA KABUPATEN KOLAKA TIMUR;"Hasanudin H Hubungan Koordinası Mata Kakı dengan keterampilan Dribling dalam permainan sepakbola Pada siswa SMA Negeri  Poli Polia kabupaten Kolaka timur Pembimbing  Resky Ana Abadi SPd MPd dan Pembimbing II Basman SPd MPdAIFO Tujuan penelitian ini adalah untuk mengetahui hubungan koordinası mata kakı dengan kemampuan Dribling dalam permainan sepakbola Pada siswa SMA Negeri  Poli Polia kabupaten Kolaka timur Populası dala Teknik penarikan sampel adalah total sampling yaitu seluruh siswa dijadikan sampel sehingga diperoleh sampel sebanyak  siswa putra Instrument yang digunakan adalah Tes Koordinası Mata Kakı dan tes kemampuan dribbling permaina sepakbola Data Koordinası Mata Kakı diambil darı tendangn ketembok dengan mengukur tingkat koordinasi tendangan yang diperoleh selama  detik sedangkan data Keterampilan dribbling pada permainan sepakbola diambil jumlag waktu yang ditempu pada saat melakukan keterampılan dribbling Teknik analısıs data yang digunakan untuk menganalisis hipotesis yang diajukan adalah uji korelası dengan menggunakan program SPSS versi  Hasıl yang diperoleh dari pengujian hipotesis koordinası mata kakı mempunyai hubungan dengan keterampilan dribbling pada permainan sepakbola dimana nilaı sıgnifikan   dengan nilai korelası 4 dan koefisien determinasi sebesar 4 Darı hasıl yang diperoleh dapat disimpulkan bahwa terdapat hubungan yang signifikan antara koordinası mata kaki dengan keterampilan dribbling bola permaina sepakbola Pada siswa SMA Negeri  Poli Polia kabupaten Kolaka timur

Kata Kunci koordinası Dribling Sepakbola"
KONTRIBUSI TINGKAT KESEGARAN JASMANI TERHADAP HASIL BELAJAR PJOK SISWA PUTRA KELAS IV DAN V SD NEGERI 3 POLI POLIA KABUPATEN KOLAKA TIMUR;"Andi Mallarangen H Kontribusi Tingkat Kesegaran Jasmanı Terhadap Hasıl Belajar PJOK Siswa Putra Kelas IV dan V SD Negeri  PoliPolia Kabupaten Kolaka Timur Pembimbing I Ibu Resky Ana Abadı SPd MPd dan Pembimbing II Ibu Ika Sartika S Pd MKes AIFO Fakultas Keguruan dan Ilmu pendidikan Universitas Nahdlatul Ulama Sulawesi Tenggara Program Studi PenjaskesRek

Penelitian ini bertujuan untuk mengetahui apakah tingkat kesegaran jasmani memiliki kontribusi terhadap hasıl belajar PJOK siswa putra kelas IV dan V SD Negeri  Polipolia Kabupaten Kolaka Timur Populası dalam penelitian inı adalah siswa putra kelas IV dan V SD Negeri  PoliPolia yang berjumlah  siswa Teknik pengambilan sampel dilakukan dengan cara purposive sampling vaitu suatu teknik penentuan sampel dengan pertimbangan tertentu atau seleksi khusus yang berjumlah  siswa Teknik pengambilan data penelitian ini menggunakan metode survei dan tes kesegaran jasmanı Instrumen yang digunakan dalam penelitian ini adalah pengukuran tes tingkat kebugaran jasmanı Indonesia untuk anak usia  tahun Sedangkan nilai hasil belajar dilihat darı nilai raport semester genap tahun pelajaran / Teknik analısıs data yang digunakan untuk mengetahui ada tidaknya hubungan yang signifikan antara variabel bebas dan variabel terikat digunakan rumus korelasi productmoment dengan menggunakan SPSS versi  Hasil data penelitian diperoleh kesegaran jasmanı memilikı hubungan signifikan terhadap hasıl belajar PJOK siswa dengan Thit 4  Tiah  dan memberikan kontribusi sebesar 4 terhadap hasil belajar PJOK siswa putra kelas IV dan V SD Negeri  PoliPolia

Kata kunci TKJI Belajar dan PJOK"
HUBUNGAN KEKUATAN OTOT TUNGKAI DENGAN KEMAMPUAN LARI SPRINT 100 METER SISWA KELAS VIII SMP NEGERI 02 RUMBIA;"Sukma H hubungan kekuatan otot tungkai dengan kemampuan ları sprint  meter siswa kelas VIII SMP Negeri  Rumbia Edi Gunawan USOr MKes selaku dosen pembimbing  dan Fitriani SPd MPd selaku dosen pembimbing IL Fakultas Keguruan dan Ilmu Pendidikan Universitas Nahdlatul Ulama Sulawesi Tenggara Program Studi PenjaskesRek Tujuan penelitian ini adalah untuk mengetahui hubungan kekuatan otot tungkai dengan kemampuan ları sprint  meter ini adalah kelas VIII SMP Negeri  Rumbia Populasi dalam penelitian ini adalah seluruh siswa Kelas VIII SMPN  Rum bia yang berjumlah  siswa yang terdiri dari  siswa putra dan teknik penarikkan sampel adalah total sampling yaitu seluruh siswa putra dijadikan sampel sehingga diperoleh sampel sebanyak  orang Sedangkan instrument yang digunakan adalah tes kekeuatan otot tungkai dengan cara vertical jump dan tes kemampuan ları  meter dengan cara melakukan tes ları  me ter Data kekuatan otot tungkai diambil selisi nilai tinggi raihan dan nilai tinggi lompatan dan data kemampuan lari  meter diambil waktu yang diperoleh menempuh jarak  meter Teknik analisis data yang digunakan untuk menganalisis hipotesis yang diajukan adalah ujı korelasi dengan menggunakan program SPSS versi  Hasil yang diperoleh dari pengujian hipotesis kekuatan otot tungkai mempunyai hubungan dengan kemampuan ları  meter dimana nilai signifikan  dengan nilai korelasi  dan koefisien deter minasi sebesar  Dari hasil yang diperoleh dapat disimpulkan bahwa ter dapat hubungan yang signifikan antara kekuatan otot tungkai dengan kemampu an lari sprint  meter siswa kelas VIII SMP Negeri  Rumbia

Kata Kunci kekuatan tungkaı ları sprint  meter"
HUBUNGAN INTENSITAS BERMAIN GAME ONLINE FREE FIRE DENGAN KEMAMPUAN MOTORIK KASAR SISWA MI MIFTAHUL ULUM KABUPATEN BOMBANA;"Jurnia H Hubungan intensitas bermain game online free fire dengan kemampuan motorik kasar siswa MI Miftahul Ulum Kabupaten Bombana Tujuan penelitian ini adalah untuk mengetahui hubungan intensitas bermain game online free fire dengan kemampuan motorik kasar siswa MI Miftahul Ulum Kabupaten Bombana Populası dalam penelitian ini adalah seluruh siswa siswa MI Miftahul Ulum Kabupaten Bombana yang berjumlah  siswa Teknik penarikan sampel adalah purposive sampling dan diperoleh sampel sebanyak  orang Instrument yang digunakan adalah tes intensitas game online adalah menggunakan kuisioner sedangkan tes kemampuan motorik kasar menggunakan tes motor ability Data intensitas bermain game online free fire diambil skor nilai yang diperoleh sedangkan data kemampuan motorik kasar diambil skor keseluruhan dari empat item tes Teknik analisis data yang digunakan untuk menganalisis hipotesis yang diajukan adalah ujı korelası dengan menggunakan program SPSS versi  Hasıl yang diperoleh dari pengujian hipotesis intensitas bermain game online free fire mempunyai hubungan dengan kemampuan motorik kasar dimana nılaı signifikan   dengan nilai korelasi dan koefisien determinası sebesar  Darı hasil yang diperoleh dapat disimpulkan bahwa terdapat hubungan yang signifikan antara intensitas bermain game online free fire dengan kemampuan motorik kasar siswa MI Miftahul Ulum Kabupaten Bombana

Kata Kunci intensitas bermain game online free fire kemampuan motorik kasar"
HUBUNGAN DAYA LEDAK OTOT TUNGKAI DENGAN KEMAMPUAN LOMPAT JAUH GAYA JONGKOK PADA SISWA SMP NEGERI 02 RUMBIA;"Nora S Lulu H Hubungan Daya Ledak Otot Tungkai dengan Kemampuan Lompat Jauh Gaya Jongkok Pada Siswa SMP Negeri  Rumbia Pembimbing I Edy Gunawan U SPd MPd dan Pembimbing II Suryani SPd MPd Fakultas Keguruan dan Ilmu Pendidikan Universitas Nahdlatul Ulama Sulawesi Tenggara Program studi Pendidikan Jasmani Kesehatan dan Rekreasi Tujuan penelitian adalah untuk mengetahui Hubungan Daya Ledak Otot Tungkai dengan Kemampuan Lompat Jauh Gaya Jongkok Pada Siswa SMP Negeri  Rumbia Populasi dalam penelitian ini adalah seluruh siswa putra kelas VII SMP Negeri  Rumbia yang berjumlah  siswa Teknik penarikan sampel adalah purposive sampling yaitu berdasarkan pertimbangan yang memiliki kriteria dapat melakukan lompat jauh dengan baik maka siswa putra kelas VII dijadikan sampel yang berjumlah  orang Instrumen tes daya ledak otot tungkai menggunakan tes standing board jump sedangkan kemampuan lompat jauh gaya jongkok menggunakan tes lompat jauh gaya jongkok Data daya ledak otot tungkai diambil nilai terbaik dari tiga kali tes sedangkan data kemampuan lompat jauh gaya jongkok diambil nilai terbaik dari tiga kali lompatan Teknik analisis data yang digunakan untuk menganalisis hipotesis yang diajukan adalah uji korelasi dengan menggunakan program SPSS versi  Hasil yang diperoleh dari pengujian hipotesis daya ledak otot tungkai mempunyai hubungan dengan kemampuan lompat jauh gaya jongkok dimana nilai signifikan    dengan nilai korelasi  dan koefisien determinasi sebesar  Dari hasil yang diperoleh dapat disimpulkan bahwa terdapat hubungan yang signifikan antara daya ledak otot tungkai dengan kemampuan lompat jauh gaya jongkok siswa SMP Negeri  Rumbia

Kata Kunci otot tungkai lompat jauh"
HUBUNGAN KOORDINASI MATA TANGAN DENGAN KEMAMPUAN SMASH DALAM PERMAINAN BULUTANGKIS PADA SISWA SMA NEGERI 1 KOLAKA UTARA SULAWESI TENGGARA;"ZAITUNI H Penelitian ini bertujuan untuk mengetahui hubungan Koordinası mata tangan dengan Kemampuan Smash dalam permainan Bulutangkis pada Siswa SMA Negeri  Kolaka Utara Sulawesi Tenggara Populası dalam Penelitian ini adalah Seluruh Siswa peserta Ekstrakurikuler SMA Negeri  Kolaka Utara Yang berjumlah  Siswa Maka dalam penelitian inı Penarikan Sampel dipilih dengan cara Sampel populasi/Sampling Jenuh yakni seluruh siswa SMA Negeri  Kolaka Utara yang mengikuti Ekstrakurikuler Bulutangkis yang berjumlah  Orang

Hasil Penelitian menyatakan ada Hubungan yang signifikan antara Koordinası Mata Tangan dengan Kemampuan Smash dalam Permainan Bulutangkis Berdasarkan hasıl penghitungan linieritas pada variabel Koordinasi mata tangan dengan variabel kemampuan Smash dalam permainan Bulutangkis diperoleh hasil uji Kolmogorov Smimov KSZ P= uji Fhitung sebesar 4 yang lebih besar dari Ftabel yang memiliki nilai sebesar 4 hasil taraf signifikan  yang lebih kecil darı  dan nilai pearson correlation  yang lebih besar dari nilai rtabel 4 pearson correlation   rtabel 4 Sehingga dalam penelitian ini terdapat hubungan yang signifikan variabel koordinası mata tangan dengan kemampuan smash dalam permainan bulutangkis pada siswa SMA Negeri  Kabupaten Kolaka Utara Sulawesi Tenggara sebesar  yakni Tingkat Korelasi Tinggi

Kata Kunci Koordinası Mata Tangan Kemampuan Smash Bulutangkis"
HUBUNGAN KEKUATAN OTOT LENGAN DENGAN KEMAMPUAN LEMPAR LEMBING PADA SISWA KELAS V SD NEGERI 96 KENDARI;"Lista Hardika H Hubungan Kekuatan Otot Lengan dengan Kemampuan Lempar Lembing pada Siswa Kelas V SD Negeri  Kendarı Pembimbing I Bapak Heriansyah SPd MPd AIFOP dan Pembimbing II Bapak Resky Ana Abadi SPd MPd Fakultas Keguruan dan Ilmu Pendidikan Universitas Nahdlatul Ulama Sulawesi Tenggara Program Studi Pendıdıkan Jasmanı Kesehatan dan Rekreasi

Tujuan penelitian ini adalah untuk mengetahui seberapa besar hubungan kekuatan otot lengan dengan kemampuan lempar lembing pada siswa kelas V SD Negeri  Kendari Populasi dalam penelitian ini adalah seluruh siswa kelas V SD Negeri  Kendarı yang berjumlah  orang dengan jumlah keseluruhan siswa putra  orang dan putri adalah 4 orang Sampel dalam penelitian ini adalah sebanyak  orang Adapun teknik penarikan sampel dilakukan dengan teknik purposive pertimbangan yaitu hanya mengambil siswa yang berjenis kelamin putera Instrumen yang digunakan untuk mengukur kekuatan otot lengan menggunakan tes push up sedangkan untuk mengukur kemampuan lempar lembing menggunakan tes lempar lembing Teknik analisis data menggunakan analisis SPSS versi  dengan analisis regresi

Berdasarkan hasıl analısıs data diperoleh nilai signifikan    sehingga dapat dınyatakan bahwa ada hubungan yang signifikan antara kekuatan otot lengan dengan kemampuan lempar lembing pada siswa kelas V SD Negeri  Kendari Nilai korelası yang diperoleh rxy =   Γ = artınya ada hubungan yang signifikan antara kedua variabel tersebut dan dapat dikatakan memılıkı hubungan yang sangat kuat dan memilikı arah korelasi yang positif dan jika dimasukkan pada peta korelası merupakan korelası sedang Koefisien determinası antara kedua variabel r sebesar 4 atau 4 kemampuan lempar lembing didukung oleh kekuatan otot lengaan sedangkan  dipengaruhi oleh kondisi fisik lain yang tidak ditelıtı misalnya koordinası ketepatan kelentukan dan lainlain

Kata Kunci Kekuatan Otot Lengan Lempar Lembing"
HUBUNGAN KEKUATAN OTOT LENGAN DENGAN KEMAMPUAN MELAKUKAN SMASH PADA PERMAINAN BULUTANGKIS SISWA KELAS VIII A DI SMP NEGERI 06 RAROWATU KABUPATEN BOMBANA;"Nita Alfiani H Hubungan Kekuatan Otot Lengan Dengan Kemampuan Melakukan Smash Pada Permainan Bulu Tangkis Siswa Kelas VIII A di SMP Negeri  Rarowatu Kaabupaten Bombana Basman SPd MPd AIFO sebagai pembimbing I dan ibu Resky Ana Abadi SPd MPd sebagai pembimbing II Tujuan penelitian ini adalah untuk mengetahui Hubungan Kekuatan Otot Lengan Dengan Kemampuan Melakukan Smash Pada Permainan Bulu Tangkis Siswa Kelas VIII A di SMP Negeri  Rarowatu Kaabupaten Bombana

Pengolahan data yang digunakan Pada penelitian ini teknik adalah Analisis deskriptif bertujuan untuk mengkajı dan hubungan kekuatan otot Dengan Kemampuan Melakukan Smash Pada Permainan Bulutangkis SMP Negeri  Rarowatu Kabupaten Bombana Digunakan analisis deskriptif dengan menghitung nilai ratarata standar deviasi modus median nilai maksimum dan nilai minimum

Berdasarkan uji korelasi kekuatan otot lengan dan Kemampuan Melakukan Smash Pada Permainan Bulutangkis hasil uji korelasi pada tabel 4 diperoleh nilai signifikan    sehingga dapat dinyatakan bahwa terdapat hubungan yang signifikan antara variabel bebas dan variabel terikat Nilai korelasi antara kekuatan otot lengan dengan kemampuan smash pada permainan bulutangkis

Kata Kunci otot lengan Smash bulutangkis"
